NS 100
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0322
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0326
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0328
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0340
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0342
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0344
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0348
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0360
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0362
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0364
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0366
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0382
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0384
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0386
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0388
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0500
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0504
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0506
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0508
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0520
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0522
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0526
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0528
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0540
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0542
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0544
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0548
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0560
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0562
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0564
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0566
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0582
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0584
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0586
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0588
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0900
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0904
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0906
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0908
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0920
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0922
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0926
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0928
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0940
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0942
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0944
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0948
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0960
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0962
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0964
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0966
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0982
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0984
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0986
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0988
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1011
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1015
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1017
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1019
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1031
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1033
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1037
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1039
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1051
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1053
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1055
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1059
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1071
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1073
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1075
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1077
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1093
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1095
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1097
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 1099
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
